[Oct 25 21:57:34] 
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$archiveRatio is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:139]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$overwriteMode is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:144]
[Oct 25 21:57:34] ==DUPLICATOR INSTALLER BOOTSTRAP v1.4.7.2==
[Oct 25 21:57:34] Success: dup-installer/classes/Crypt/Random.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/Crypt/Rijndael.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/Crypt/Base.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/Crypt/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/class.u.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/class.u.html.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/class.u.notices.manager.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/class.u.exceptions.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/utilities/class.u.search.reaplce.manager.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.installer.state.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.db.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.package.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.logging.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.server.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.engine.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.crypt.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/inc.libs.css.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/inc.libs.js >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/css/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/css/all.min.css >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff2 >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff2 >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff2 >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/webfonts/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/font-awesome/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/inc.js.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/inc.css.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-icons_2e83ff_256x240.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-icons_cd0a0a_256x240.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-icons_454545_256x240.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-icons_888888_256x240.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_glass_75_e6e6e6_1x400.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-icons_222222_256x240.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_glass_55_fbf9ee_1x400.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_glass_75_dadada_1x400.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_highlight-soft_75_cccccc_1x100.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_glass_65_ffffff_1x400.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/images/ui-bg_glass_95_fef1ec_1x400.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/assets/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/classes/class.ctrl.extraction.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.s3.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.s1.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.s2.dbinstall.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.s2.dbtest.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.base.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/ctrl.s2.base.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/ctrls/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/favicon-32x32.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/android-chrome-384x384.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/favicon-16x16.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/site.webmanifest >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/mstile-150x150.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/android-chrome-192x192.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/favicon.ico >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/browserconfig.xml >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/favicon/apple-touch-icon.png >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/main.installer.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/dup-archive__[HASH].txt >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.db.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.stream.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.ui.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.exceptions.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/snaplib.all.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.util.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.io.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.wp.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.string.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.url.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.json.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.orig.files.manager.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.logger.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.jsonSerializable.abstract.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.net.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/wordpress.core.files.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/snaplib/class.snaplib.u.os.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/config/class.wp.config.tranformer.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/lib/config/class.wp.config.tranformer.src.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Successfully closed archive file
[Oct 25 21:57:34] Successfully extracted with ZipArchive
[Oct 25 21:57:34] No need to create dup-installer/.htaccess or dup-installer/.user.ini
[Oct 25 21:57:34] ERROR:  SAPI: Unrecognized
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/assets<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/classes<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/ctrls<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/favicon<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/lib<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/views<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/dup-archive__[HASH].txt<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/dup-database__[HASH].sql<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/dup-scan__[HASH].json<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/index.php<br/>
[Oct 25 21:57:34] Set permissions of /var/www/html/vap70/dup-installer/main.installer.php<br/>
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$archive is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:511]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$bootloader is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:512]
[Oct 25 21:57:34] DONE: No detected errors so redirecting to the main installer. Main Installer URI = http://localhost/vap70/dup-installer/main.installer.php
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Implicit conversion from float 2713.07 to int loses precision [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1590]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Automatic conversion of false to array is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:1661]
